Group,Network,Block,Treatment,Day,Time,Location,Members,Notes,
,6,3,Twelve,6,1500,7,E Q,,
,6,3,Twelve,6,1500,11,O M A W I,,
,6,3,Twelve,6,1600,3,U X M G,,
,6,3,Twelve,6,1600,4,P V N,,
,6,3,Twelve,6,1600,5,H B,,
,6,3,Twelve,6,1600,7,O Q E,,
,6,3,Twelve,6,1600,8,K J,,
,6,3,Twelve,6,1600,10,D R,,
,6,3,Twelve,6,1600,11,C I W A,,
,6,3,Twelve,6,1700,3,U X G M,,
,6,3,Twelve,6,1700,4,P V N,,
,6,3,Twelve,6,1700,5,B H,,
,6,3,Twelve,6,1700,7,Q O E,,
,6,3,Twelve,6,1700,8,K J,,
,6,3,Twelve,6,1700,10,D R,,
,6,3,Twelve,6,1700,11,W I A C,,
