Group,Network,Block,Treatment,Day,Time,Location,Members,Notes,,,
1151,6,3,Twelve,3,1200,12,U A Q,,,,
1152,6,3,Twelve,3,1300,5,F N,,,,
1153,6,3,Twelve,3,1300,12,A U Q,,,,
1154,6,3,Twelve,3,1500,3,G K,,,,
1155,6,3,Twelve,3,1500,11,J C,,,,
1156,6,3,Twelve,3,1600,4,P B,,,,
1157,6,3,Twelve,3,1600,10,W S U M,,,,
1158,6,3,Twelve,3,1600,11,D O,,,,
1159,6,3,Twelve,3,1600,12,L T,,,,
1160,6,3,Twelve,3,1700,2,F K,,,,
1161,6,3,Twelve,3,1700,2,X H,,,,
1162,6,3,Twelve,3,1700,4,P B,,,,
1163,6,3,Twelve,3,1700,5,V R,,,,
1164,6,3,Twelve,3,1700,10,M S W,,,,
1165,6,3,Twelve,4,900,2,X F,,,,
1166,6,3,Twelve,4,900,3,O P G,,,,
1167,6,3,Twelve,4,900,4,J M,,,,
1168,6,3,Twelve,4,900,5,R H U N,,,,
1169,6,3,Twelve,4,900,10,S W,,,,
1170,6,3,Twelve,4,900,12,A K L T,,,,
1171,6,3,Twelve,4,1000,2,X F,,,,
1172,6,3,Twelve,4,1000,3,P O G,,,,
1173,6,3,Twelve,4,1000,4,J M,,,,
1174,6,3,Twelve,4,1000,5,U H R N,,,,
1175,6,3,Twelve,4,1000,10,S W,,,,
1176,6,3,Twelve,4,1000,12,K A,,,,
1177,6,3,Twelve,4,1100,3,O P,,,,
1178,6,3,Twelve,4,1100,4,B M,,,,
1179,6,3,Twelve,4,1100,5,R H,,,,
1180,6,3,Twelve,4,1100,10,S W,,,,
1181,6,3,Twelve,4,1200,2,X F,,,,
1182,6,3,Twelve,4,1200,3,N Q,,,,
1183,6,3,Twelve,4,1200,3,P O,,,,
1184,6,3,Twelve,4,1200,4,J M,,,,
1185,6,3,Twelve,4,1200,5,H U,,,,
1186,6,3,Twelve,4,1200,10,S W,,,,
1187,6,3,Twelve,4,1300,2,F X,,,,
1188,6,3,Twelve,4,1300,3,G O P,,,,
1189,6,3,Twelve,4,1300,4,J M,,,,
1190,6,3,Twelve,4,1300,5,H U,,,,
1191,6,3,Twelve,4,1300,12,L T,,,,
1192,6,3,Twelve,4,1400,3,O P,,,,
1193,6,3,Twelve,4,1400,12,T I,,,,
1194,6,3,Twelve,4,1500,3,P O,,,,
1195,6,3,Twelve,4,1500,5,U H,,,,
1196,6,3,Twelve,4,1500,12,I T,,,,
1197,6,3,Twelve,4,1600,3,P C G Q,,,,
1198,6,3,Twelve,4,1600,5,H U,,,,
1199,6,3,Twelve,4,1600,10,W S F,,,,
1200,6,3,Twelve,4,1600,12,I T,,,,
1197,6,3,Twelve,4,1700,3,C P,,,,
1198,6,3,Twelve,4,1700,5,H U,,,,
1199,6,3,Twelve,4,1700,10,F S,,,,
1200,6,3,Twelve,4,1700,12,T I L,,,,
1201,6,3,Twelve,5,900,3,X C G O P D Q,,,,
1202,6,3,Twelve,5,900,4,J B,,,,
1203,6,3,Twelve,5,900,5,U H R,,,,
1204,6,3,Twelve,5,900,10,W S F,,,,
1205,6,3,Twelve,5,1000,3,D C,,,,
1206,6,3,Twelve,5,1000,5,V K,,,,
1207,6,3,Twelve,5,1100,3,D C,,,,
1208,6,3,Twelve,5,1200,5,V H U,,,,
1209,6,3,Twelve,5,1300,3,G O,,,,
1210,6,3,Twelve,5,1300,5,H U,,,,
1211,6,3,Twelve,5,1300,Outside,J S,,,,
1212,6,3,Twelve,5,1300,Outside,L R,,,,
1213,6,3,Twelve,5,1400,11,F D A,,,,
1214,6,3,Twelve,5,1500,5,H V,,,,
1215,6,3,Twelve,5,1500,11,F W,,,,
1216,6,3,Twelve,5,1500,12,Q T,,,,
1217,6,3,Twelve,5,1600,5,H M,,,,
1218,6,3,Twelve,5,1600,7,E U,,,,
1219,6,3,Twelve,5,1600,9,J D,,,,
1220,6,3,Twelve,5,1600,10,O R,,,,
1221,6,3,Twelve,5,1600,10,S P,,,,
1222,6,3,Twelve,5,1700,5,H M,,,,
1223,6,3,Twelve,5,1700,8,J D,,,,
1224,6,3,Twelve,5,1700,10,R O P S,,,,
1225,6,3,Twelve,6,900,5,M H,,,,
1226,6,3,Twelve,6,900,7,E Q,,,,
1227,6,3,Twelve,6,900,10,P O,,,,
1228,6,3,Twelve,6,900,11,I A S,,,,
1229,6,3,Twelve,6,1000,7,E Q,,,,
1230,6,3,Twelve,6,1000,10,O P,,,,
1231,6,3,Twelve,6,1000,11,S I A,,,,
1232,6,3,Twelve,6,1000,5,H M,,,,
1233,6,3,Twelve,6,1100,5,B H,,,,
1234,6,3,Twelve,6,1100,7,E Q,,,,
1235,6,3,Twelve,6,1100,8,M D,,,,
1236,6,3,Twelve,6,1100,10,R O,,,,
1237,6,3,Twelve,6,1100,11,I W S,,,,
1238,6,3,Twelve,6,1200,3,X G,,,,
1239,6,3,Twelve,6,1200,5,B H,,,,
1240,6,3,Twelve,6,1300,7,E Q,,,,
1241,6,3,Twelve,6,1300,10,R O,,,,
1242,6,3,Twelve,6,1300,11,S I W,,,,
1243,6,3,Twelve,6,1400,3,X G,,,,
1244,6,3,Twelve,6,1400,7,E Q,,,,
1245,6,3,Twelve,6,1400,10,M R O,,,,
1246,6,3,Twelve,6,1400,11,S I W,,,,
1247,6,3,Twelve,6,1400,12,T C,,,,
1248,6,3,Twelve,6,1500,5,H B,,,,
1249,6,3,Twelve,6,1500,7,E Q,,,,
1250,6,3,Twelve,6,1500,11,O M A W,,,,
1251,6,3,Twelve,6,1600,3,U X,,,,
1252,6,3,Twelve,6,1600,4,P V N,,,,
1253,6,3,Twelve,6,1600,5,H B,,,,
1254,6,3,Twelve,6,1600,7,O Q,,,,
1255,6,3,Twelve,6,1600,11,C I W,,,,
1256,6,3,Twelve,6,1700,3,U X,,,,
1257,6,3,Twelve,6,1700,4,P V N,,,,
1258,6,3,Twelve,6,1700,5,B H,,,,
1259,6,3,Twelve,6,1700,7,Q O,,,,
1260,6,3,Twelve,6,1700,11,W I,,,,
