,block,treatment,network,name,sex,size,strength,matings,mounts_in,mounts_out
109,3,two,5,P,Female,1.44,4.483054237,1,30,
110,3,two,5,Q,Female,1.36,3.745599095,1,36,
111,3,two,5,R,Female,1.48,1.940454218,3,83,
112,3,two,5,S,Female,1.39,4.032332978,4,51,
113,3,two,5,T,Female,1.52,4.123245988,4,51,
114,3,two,5,U,Female,1.46,4.042128528,7,33,
115,3,two,5,V,Female,1.41,2.571001184,7,52,
116,3,two,5,W,Female,1.46,2.248412797,6,44,
117,3,two,5,X,Female,1.41,2.942195347,2,33,
118,3,twelve,6,A,Male,1.39,1.328907799,2,9,
119,3,twelve,6,B,Male,1.31,0.61857381,3,4,
120,3,twelve,6,C,Male,1.43,0.670834316,5,27,
121,3,twelve,6,D,Male,1.31,0.75845638,3,3,
122,3,twelve,6,E,Male,1.25,0.636219212,1,5,
123,3,twelve,6,F,Male,1.28,0.709009227,5,3,
124,3,twelve,6,G,Male,1.36,0.783617738,6,7,
125,3,twelve,6,H,Male,1.41,0.950574512,2,15,
126,3,twelve,6,I,Male,1.31,0.825728531,2,18,
127,3,twelve,6,J,Male,1.34,0.468013359,1,6,
128,3,twelve,6,K,Male,1.33,0.596694597,3,15,
129,3,twelve,6,L,Male,1.31,0.520084643,9,13,
130,3,twelve,6,M,Female,1.48,0.823495069,7,39,
131,3,twelve,6,N,Female,1.38,0.75698872,2,25,
132,3,twelve,6,O,Female,1.36,1.133645455,2,39,
133,3,twelve,6,P,Female,1.36,1.130556741,2,12,
134,3,twelve,6,Q,Female,1.49,1.13224171,7,25,
135,3,twelve,6,R,Female,1.46,0.713345356,4,18,
136,3,twelve,6,S,Female,1.39,1.03910269,4,27,
137,3,twelve,6,T,Female,1.36,0.739770154,4,21,
138,3,twelve,6,U,Female,1.39,1.147695399,2,24,
139,3,twelve,6,V,Female,1.46,0.512233953,1,7,
140,3,twelve,6,W,Female,1.43,1.047845922,2,22,
141,3,twelve,6,X,Female,1.41,0.876632591,5,26,
